ProdID,AirTemp,ProcTemp,Rotation,Torque,ToolWear,Failure
L48043,296,306.7,1416,44.2,46,0
L48045,295.9,306.6,1414,50.2,51,0
L48046,295.9,306.6,1678,26.7,53,0
L48049,295.8,306.5,1358,49.2,63,0
L48050,295.8,306.4,1325,56.2,65,0
L48051,295.8,306.4,1339,53.2,67,0
L48053,295.9,306.4,1892,21.7,72,0
L48054,295.9,306.4,1575,28.5,74,0
L48056,295.7,306.3,1915,22.4,79,0
L48059,295.8,306.3,1337,54.6,87,0
L48061,295.7,306.2,1464,46.2,92,0
L48063,295.7,306.3,1490,34.3,97,0
L48064,295.8,306.4,1356,48,99,0
L48065,295.7,306.2,1397,52,101,0
L48066,295.7,306.2,1458,40.6,103,0
L48069,295.6,306.1,1389,46.2,113,0
L48070,295.6,306,1370,52.4,115,0
L48071,295.7,306.1,1408,47.9,117,0
L48072,295.7,306.1,1343,54.4,119,0
L48074,295.6,306.2,1426,48.6,124,0
L48076,295.5,306.1,1573,35.1,129,0
L48077,295.6,306.2,1612,31.2,131,0
L48078,295.6,306.2,1446,49.9,133,0
L48080,295.6,306.2,1569,35.1,140,0
L48082,295.6,306.1,1383,48.7,147,0
L48083,295.7,306.2,2270,14.6,149,1
L48085,295.6,306.1,1474,41.2,156,0
L48089,295.5,306,1456,39.2,167,0
L48090,295.5,306,1546,35.9,169,0
L48092,295.6,306,1569,40.4,174,0
L48093,295.5,306,1621,29.5,176,0
L48097,295.3,305.7,1475,51,187,0
L48099,295.4,305.8,1407,50.7,192,0
L48104,295.5,306,1800,27.6,208,0
L48106,295.6,306.1,1372,55.6,215,1
L48108,295.6,306,1949,21.9,5,0
L48109,295.6,306,1419,51.1,7,0
L48111,295.5,305.9,1542,36.2,12,0
L48112,295.6,306,1363,50,14,0
L48113,295.5,306,1597,37.2,16,0
L48117,295.6,306.2,1263,61.8,27,0
L48118,295.6,306.2,1823,25.8,29,0
L48119,295.5,306.1,1488,40.7,31,0
L48120,295.6,306.2,1443,48.9,33,0
L48121,295.6,306.2,1650,28.2,35,0
L48126,295.6,306.2,1287,54.8,49,0
L48127,295.6,306.2,1428,44.5,51,0
L48129,295.6,306.3,1636,32.7,56,0
L48130,295.6,306.2,1424,42.5,58,0
L48132,295.5,306.2,1448,48.9,65,0
L48133,295.5,306.1,1650,32.8,67,0
L48135,295.6,306.3,1911,20.9,74,0
L48138,295.8,306.4,1399,47.6,84,0
L48139,295.8,306.5,1505,35.2,86,0
L48140,295.8,306.5,1534,37.9,88,0
L48141,295.8,306.5,1493,40.5,90,0
L48143,295.8,306.6,1621,31.6,95,0
L48144,295.7,306.5,1737,26.2,97,0
L48145,295.8,306.6,1508,46.5,99,0
L48148,295.9,306.7,1547,40.9,107,0
L48149,295.9,306.6,1412,41,109,0
L48150,295.8,306.5,1568,35.1,111,0
L48151,295.9,306.6,1557,41.1,113,0
L48152,295.8,306.6,1644,35.2,115,0
L48153,295.9,306.6,1679,30.4,117,0
L48154,296,306.6,1511,35.2,119,0
L48157,296,306.7,1917,21,127,0
L48159,296.2,306.8,1389,53.3,132,0
L48160,296.1,306.7,1409,42.8,134,0
L48161,296.2,306.8,1655,31.1,136,0
L48162,296.2,306.9,1516,39.1,138,0
L48163,296.2,306.9,1526,34.9,140,0
L48164,296.3,307.1,1419,48.6,142,0
L48165,296.4,307.2,1748,25.3,144,0
L48170,296.2,307,1414,48.3,162,0
L48172,296.1,307.1,1651,35.7,167,0
L48175,296.3,307.3,1566,35.8,175,0
L48179,296.3,307.1,1560,33.2,186,0
L48180,296.3,307.1,1654,29.6,188,0
L48181,296.3,307.1,1662,32.9,190,0
L48182,296.3,307.2,1646,35,192,0
L48183,296.2,307.1,1444,46.7,194,0
L48185,296.2,307.2,1382,52,201,0
L48186,296.2,307.1,1413,53.4,203,0
L48188,296.2,307.1,1441,41.7,3,0
L48194,296.2,307.2,1445,41.8,20,0
L48195,296.2,307.2,1356,43.6,22,0
L48197,296.3,307.2,1637,31.6,27,0
L48198,296.3,307.2,1291,58.6,29,0
L48199,296.3,307.3,1398,52.7,31,0
L48200,296.3,307.3,1372,57.7,33,0
L48202,296.2,307.2,1515,36.5,38,0
L48203,296.2,307.3,1881,24.3,40,0
L48204,296.2,307.3,1711,29.9,42,0
L48205,296.2,307.3,1475,37,44,0
L48206,296.4,307.4,1512,36.8,46,0
